x	y 
698.113	487.945
699.105	487.637
700.370	487.487
701.708	487.569
702.921	487.957
703.841	488.709
704.464	489.785
704.832	491.120
704.993	492.646
704.990	494.297
704.884	495.965
704.777	497.448
704.774	498.531
704.983	498.997
705.474	498.689
706.159	497.728
706.902	496.309
707.567	494.633
708.019	492.897
708.187	491.267
708.216	489.800
708.295	488.530
708.615	487.494
709.361	486.725
710.551	486.253
711.988	486.098
713.459	486.282
714.755	486.826
715.686	487.743
716.263	488.983
716.587	490.469
716.762	492.121
716.891	493.861
717.078	495.609
717.355	497.218
717.658	498.441
717.914	499.024
718.055	498.724
718.095	497.552
718.131	495.764
718.264	493.622
718.593	491.393
719.219	489.339
720.241	487.725
721.665	486.713
723.293	486.241
724.895	486.213
726.243	486.537
727.109	487.118
727.390	487.883
727.282	488.812
727.024	489.891
726.823	491.101
726.730	492.401
726.742	493.742
726.856	495.073
727.069	496.345
727.375	497.420
727.760	498.002
728.213	497.788
728.700	496.737
729.174	495.104
729.582	493.159
729.875	491.173
730.001	489.415
729.932	488.134
729.841	487.358
730.019	486.990
730.673	486.922
731.716	487.000
732.999	487.061
734.372	486.942
735.717	486.625
736.977	486.355
738.102	486.404
739.039	487.047
739.755	488.425
740.272	490.223
740.628	492.027
740.856	493.424
740.995	494.000
741.083	493.467
741.180	492.117
741.351	490.412
741.661	488.814
742.175	487.783
742.924	487.503
743.884	487.688
745.025	488.006
746.298	488.203
747.600	488.331
748.808	488.513
749.803	488.871
750.478	489.516
750.851	490.442
750.999	491.588
751.004	492.890
750.943	494.252
750.897	495.395
750.945	495.986
751.162	495.719
751.533	494.649
751.988	493.076
752.453	491.303
752.858	489.634
753.137	488.361
753.382	487.553
753.818	487.086
754.650	486.833
755.852	486.731
757.270	486.749
758.748	486.854
760.130	487.018
761.291	487.249
762.191	487.677
762.809	488.452
763.124	489.715
763.185	491.355
763.106	493.021
763.002	494.353
762.990	494.988
763.171	494.646
763.553	493.495
764.115	491.860
764.837	490.067
765.695	488.439
766.668	487.279
767.739	486.607
768.891	486.267
770.107	486.100
771.372	485.949
772.632	485.761
773.775	485.663
774.681	485.803
775.235	486.320
775.434	487.238
775.378	488.464
775.175	489.903
774.931	491.456
774.741	492.975
774.682	494.215
774.830	494.923
775.256	494.859
775.939	494.022
776.774	492.651
777.649	490.993
778.454	489.294
779.077	487.800
779.476	486.712
779.775	486.106
780.130	486.041
780.636	486.479
781.304	487.241
782.133	488.132
783.121	488.995
784.255	489.765
785.521	490.393
786.903	490.829
788.389	491.024
789.938	490.946
791.466	490.595
792.885	489.975
794.104	489.090
795.033	487.945
795.609	486.561
795.861	485.019
795.838	483.414
795.586	481.841
795.156	480.394
794.589	479.162
793.847	478.155
792.852	477.343
791.521	476.692
789.772	476.168
787.530	475.742
784.775	475.396
781.531	475.127
777.823	474.930
773.676	474.802
769.116	474.739
764.165	474.736
758.850	474.790
753.195	474.896
747.225	475.050
740.965	475.249
734.439	475.488
727.673	475.763
720.690	476.071
713.517	476.407
706.177	476.768
698.696	477.148
691.097	477.545
683.407	477.954
675.650	478.371
667.850	478.792
660.032	479.214
652.210	479.633
644.388	480.049
636.570	480.463
628.759	480.873
620.959	481.279
613.173	481.680
605.405	482.076
597.659	482.466
589.938	482.850
582.245	483.228
574.585	483.599
566.961	483.962
559.377	484.317
551.836	484.663
544.341	485.000
536.897	485.328
529.507	485.646
