x	y
821.470	1460.939
816.873	1460.421
812.146	1459.896
807.349	1459.362
802.543	1458.815
797.786	1458.254
793.140	1457.676
788.664	1457.078
784.417	1456.457
780.460	1455.811
776.852	1455.136
773.653	1454.432
770.924	1453.693
768.723	1452.919
767.111	1452.106
766.147	1451.251
765.880	1450.351
766.234	1449.384
767.068	1448.322
768.237	1447.135
769.598	1445.794
771.007	1444.268
772.323	1442.530
773.454	1440.562
774.415	1438.381
775.231	1436.000
775.926	1433.438
776.525	1430.710
777.053	1427.832
777.535	1424.822
777.996	1421.695
778.461	1418.468
778.954	1415.156
779.501	1411.778
780.125	1408.348
780.845	1404.880
781.657	1401.378
782.558	1397.843
783.544	1394.280
784.609	1390.691
785.749	1387.078
786.961	1383.445
788.238	1379.794
789.578	1376.129
790.976	1372.451
792.426	1368.764
793.926	1365.070
795.469	1361.372
797.053	1357.673
798.672	1353.977
800.322	1350.284
802.001	1346.597
803.709	1342.910
805.450	1339.216
807.226	1335.509
809.037	1331.785
810.888	1328.036
812.779	1324.257
814.714	1320.442
816.694	1316.584
818.721	1312.678
820.798	1308.718
822.927	1304.698
825.109	1300.611
827.348	1296.453
829.645	1292.216
832.003	1287.895
834.423	1283.483
836.908	1278.975
839.459	1274.366
842.075	1269.662
844.750	1264.878
847.478	1260.031
850.253	1255.136
853.068	1250.210
855.919	1245.269
858.799	1240.329
861.702	1235.406
864.623	1230.517
867.555	1225.676
870.493	1220.901
873.431	1216.208
876.363	1211.612
879.282	1207.130
882.184	1202.778
885.062	1198.572
887.911	1194.528
890.724	1190.662
893.495	1186.990
896.219	1183.529
898.890	1180.294
901.502	1177.300
904.054	1174.539
906.549	1171.986
908.990	1169.614
911.379	1167.396
913.719	1165.306
916.013	1163.316
918.264	1161.401
920.474	1159.534
922.646	1157.687
924.784	1155.835
926.889	1153.952
928.965	1152.009
931.014	1149.982
933.043	1147.861
935.063	1145.656
937.084	1143.374
939.115	1141.025
941.169	1138.618
943.254	1136.162
945.382	1133.666
947.563	1131.139
949.807	1128.590
952.124	1126.029
954.526	1123.464
957.022	1120.904
959.624	1118.358
962.338	1115.835
965.157	1113.339
968.069	1110.872
971.061	1108.439
974.118	1106.040
977.228	1103.680
980.378	1101.360
983.555	1099.085
986.745	1096.856
989.935	1094.676
993.112	1092.548
996.263	1090.474
999.375	1088.459
1002.434	1086.504
1005.428	1084.612
1008.343	1082.786
1011.168	1081.024
1013.897	1079.316
1016.522	1077.648
1019.040	1076.005
1021.443	1074.375
1023.727	1072.744
1025.885	1071.099
1027.912	1069.424
1029.802	1067.709
1031.549	1065.938
1033.148	1064.097
1034.593	1062.175
1035.881	1060.162
1037.017	1058.059
1038.004	1055.865
1038.844	1053.580
1039.541	1051.204
1040.099	1048.736
1040.520	1046.176
1040.808	1043.525
1040.967	1040.782
1041.000	1037.946
1040.909	1035.019
1040.699	1032.007
1040.374	1028.915
1039.937	1025.752
1039.392	1022.522
1038.742	1019.233
1037.992	1015.892
1037.145	1012.505
1036.205	1009.079
1035.175	1005.621
1034.059	1002.137
1032.862	998.633
1031.586	995.118
1030.235	991.596
1028.814	988.075
1027.321	984.561
1025.755	981.059
1024.117	977.576
1022.404	974.117
1020.615	970.688
1018.750	967.296
1016.807	963.945
1014.786	960.642
1012.684	957.392
1010.501	954.202
1008.236	951.077
1005.888	948.023
1003.456	945.046
1000.938	942.152
998.334	939.347
995.643	936.635
992.873	934.014
990.031	931.479
987.128	929.025
984.172	926.649
981.172	924.344
978.137	922.107
975.077	919.932
971.999	917.815
968.914	915.751
965.830	913.735
962.756	911.762
959.701	909.828
956.675	907.928
953.686	906.057
950.742	904.210
947.844	902.387
944.980	900.591
942.137	898.826
939.303	897.096
936.466	895.405
933.612	893.757
930.730	892.156
927.808	890.605
924.832	889.108
921.791	887.670
918.672	886.295
915.463	884.985
912.151	883.745
908.724	882.580
905.175	881.490
901.502	880.474
897.705	879.531
893.784	878.659
889.737	877.856
885.564	877.121
881.266	876.452
876.840	875.847
872.287	875.306
867.607	874.825
862.798	874.405
857.860	874.042
852.793	873.736
847.596	873.484
842.268	873.286
836.810	873.140
831.220	873.043
825.498	872.994
819.643	872.992
813.656	873.036
807.546	873.125
801.324	873.259
795.005	873.440
788.602	873.668
782.127	873.943
775.593	874.267
769.015	874.641
762.404	875.063
755.773	875.537
749.137	876.061
742.508	876.637
735.898	877.266
729.322	877.948
722.792	878.683
716.321	879.473
709.923	880.318
703.610	881.218
697.395	882.175
691.292	883.189
685.314	884.261
679.473	885.391
673.783	886.580
668.257	887.829
662.908	889.138
657.749	890.509
652.791	891.940
648.026	893.431
643.430	894.975
638.981	896.568
634.656	898.205
630.431	899.881
626.284	901.591
622.192	903.331
618.131	905.094
614.079	906.877
610.013	908.675
605.909	910.482
601.745	912.294
597.499	914.105
593.145	915.911
588.663	917.708
584.028	919.489
579.218	921.250
574.210	922.986
568.981	924.692
563.512	926.365
557.813	928.008
551.908	929.628
545.820	931.233
539.571	932.830
533.186	934.425
526.686	936.027
520.096	937.642
513.438	939.278
506.735	940.941
500.011	942.639
493.289	944.380
486.591	946.169
479.941	948.015
473.362	949.924
466.877	951.904
460.509	953.962
454.281	956.105
448.217	958.341
442.339	960.676
436.671	963.117
431.236	965.673
426.056	968.349
421.155	971.153
416.556	974.093
412.283	977.176
408.357	980.408
404.781	983.790
401.533	987.316
398.591	990.979
395.930	994.772
393.528	998.688
391.362	1002.721
389.409	1006.862
387.645	1011.106
386.047	1015.445
384.592	1019.872
383.257	1024.380
382.019	1028.964
380.855	1033.614
379.740	1038.325
378.654	1043.090
377.571	1047.901
376.469	1052.752
375.325	1057.636
374.116	1062.546
372.823	1067.475
371.461	1072.417
370.049	1077.365
368.611	1082.316
367.169	1087.262
365.744	1092.198
364.359	1097.118
363.036	1102.016
361.796	1106.887
360.662	1111.725
359.657	1116.523
358.801	1121.277
358.117	1125.980
357.627	1130.627
357.354	1135.212
357.318	1139.728
357.543	1144.171
358.050	1148.535
358.862	1152.813
360.000	1157.000
1000.000	998.000
726.000	1532.000

